耐用年数	定額法償却率	定率法償却率	定率法改定償却率	定率法保証率
2	0.5	1	0	0
3	0.334	0.667	1	0.11089
4	0.25	0.5	1	0.12499
5	0.2	0.4	0.5	0.108
6	0.167	0.333	0.334	0.09911
7	0.143	0.286	0.334	0.0868
8	0.125	0.25	0.334	0.07909
9	0.112	0.222	0.25	0.07126
10	0.1	0.2	0.25	0.06552
11	0.091	0.182	0.2	0.05992
12	0.084	0.167	0.2	0.05566
13	0.077	0.154	0.167	0.0518
14	0.072	0.143	0.167	0.04854
15	0.067	0.133	0.143	0.04565
16	0.063	0.125	0.143	0.04294
17	0.059	0.118	0.125	0.04038
18	0.056	0.111	0.112	0.03884
19	0.053	0.105	0.112	0.03693
20	0.05	0.1	0.112	0.03486
21	0.048	0.095	0.1	0.03335
22	0.046	0.091	0.1	0.03182
23	0.044	0.087	0.091	0.03052
24	0.042	0.083	0.084	0.02969
25	0.04	0.08	0.084	0.02841
26	0.039	0.077	0.084	0.02716
27	0.038	0.074	0.077	0.02624
28	0.036	0.071	0.072	0.02568
29	0.035	0.069	0.072	0.02463
30	0.034	0.067	0.072	0.02366
31	0.033	0.065	0.067	0.02286
32	0.032	0.063	0.067	0.02216
33	0.031	0.061	0.063	0.02161
34	0.03	0.059	0.063	0.02097
35	0.029	0.057	0.059	0.02051
36	0.028	0.056	0.059	0.01974
37	0.028	0.054	0.056	0.0195
38	0.027	0.053	0.056	0.01882
39	0.026	0.051	0.053	0.0186
40	0.025	0.05	0.053	0.01791
41	0.025	0.049	0.05	0.01741
42	0.024	0.048	0.05	0.01694
43	0.024	0.047	0.048	0.01664
44	0.023	0.045	0.046	0.01664
45	0.023	0.044	0.046	0.01634
46	0.022	0.043	0.044	0.01601
47	0.022	0.043	0.044	0.01532
48	0.021	0.042	0.044	0.01499
49	0.021	0.041	0.042	0.01475
50	0.02	0.04	0.042	0.0144
